EPOCH 204 ,ACC 70.02113333333334
EPOCH 205 ,ACC 69.33326666666667
EPOCH 206 ,ACC 68.97346666666665
EPOCH 207 ,ACC 69.69313333333335
EPOCH 208 ,ACC 68.69846666666668
EPOCH 209 ,ACC 69.50266666666667
EPOCH 210 ,ACC 69.4708
EPOCH 211 ,ACC 69.93646666666667
EPOCH 212 ,ACC 69.76726666666667
EPOCH 213 ,ACC 69.1218
EPOCH 214 ,ACC 68.98420000000002
EPOCH 215 ,ACC 68.52906666666667
EPOCH 216 ,ACC 68.06353333333333
EPOCH 217 ,ACC 68.2222
EPOCH 218 ,ACC 68.65606666666667
EPOCH 219 ,ACC 68.77246666666666
EPOCH 220 ,ACC 67.9472
EPOCH 221 ,ACC 68.06360000000001
EPOCH 222 ,ACC 68.76193333333335
EPOCH 223 ,ACC 67.33326666666666
EPOCH 224 ,ACC 67.12173333333334
EPOCH 225 ,ACC 67.99993333333333
EPOCH 226 ,ACC 68.55033333333333
EPOCH 227 ,ACC 68.37046666666666
EPOCH 228 ,ACC 68.0846
EPOCH 229 ,ACC 68.4762
EPOCH 230 ,ACC 68.91013333333333
EPOCH 231 ,ACC 69.23806666666665
EPOCH 232 ,ACC 68.69833333333332
EPOCH 233 ,ACC 68.7936
EPOCH 234 ,ACC 68.57153333333332
EPOCH 235 ,ACC 69.52386666666666
EPOCH 236 ,ACC 68.11633333333332
EPOCH 237 ,ACC 69.07933333333334
EPOCH 238 ,ACC 68.25413333333333
EPOCH 239 ,ACC 68.84660000000001
EPOCH 240 ,ACC 68.65613333333333
EPOCH 241 ,ACC 67.48146666666666
EPOCH 242 ,ACC 68.87833333333334
EPOCH 243 ,ACC 67.74600000000001
EPOCH 244 ,ACC 68.67726666666665
EPOCH 245 ,ACC 69.04760000000002
EPOCH 246 ,ACC 68.68786666666666
EPOCH 247 ,ACC 68.75146666666666
EPOCH 248 ,ACC 69.037
EPOCH 249 ,ACC 68.51846666666668
EPOCH 250 ,ACC 68.94186666666666
EPOCH 251 ,ACC 68.98413333333333
EPOCH 252 ,ACC 69.53433333333334
EPOCH 253 ,ACC 69.39686666666667
EPOCH 254 ,ACC 69.7354
EPOCH 255 ,ACC 69.66146666666667
EPOCH 256 ,ACC 69.55566666666667
EPOCH 257 ,ACC 69.238
EPOCH 258 ,ACC 68.84666666666666
EPOCH 259 ,ACC 69.59793333333333
EPOCH 260 ,ACC 69.1218
EPOCH 261 ,ACC 69.52380000000001
EPOCH 262 ,ACC 69.3968
EPOCH 263 ,ACC 69.9788
EPOCH 264 ,ACC 69.88359999999999
EPOCH 265 ,ACC 70.12693333333333
EPOCH 266 ,ACC 69.65073333333333
EPOCH 267 ,ACC 69.85193333333333
EPOCH 268 ,ACC 69.9576
EPOCH 269 ,ACC 70.32813333333335
EPOCH 270 ,ACC 70.1906
EPOCH 271 ,ACC 69.2382
EPOCH 272 ,ACC 69.22746666666666
EPOCH 273 ,ACC 69.94713333333334
EPOCH 274 ,ACC 70.16953333333335
EPOCH 275 ,ACC 70.14813333333333
EPOCH 276 ,ACC 69.7566
EPOCH 277 ,ACC 70.4338
EPOCH 278 ,ACC 70.59266666666667
EPOCH 279 ,ACC 70.17993333333334
EPOCH 280 ,ACC 69.71426666666667
EPOCH 281 ,ACC 69.51333333333334
EPOCH 282 ,ACC 70.59273333333334
EPOCH 283 ,ACC 70.13753333333332
EPOCH 284 ,ACC 70.61366666666666
EPOCH 285 ,ACC 70.50793333333333
EPOCH 286 ,ACC 69.94706666666666
EPOCH 287 ,ACC 70.78306666666667
EPOCH 288 ,ACC 70.201
EPOCH 289 ,ACC 70.84646666666666
EPOCH 290 ,ACC 70.56073333333333
EPOCH 291 ,ACC 70.62446666666668
EPOCH 292 ,ACC 70.71959999999999
EPOCH 293 ,ACC 70.91000000000001
EPOCH 294 ,ACC 70.38106666666665
EPOCH 295 ,ACC 71.22753333333335
EPOCH 296 ,ACC 69.96826666666666
EPOCH 297 ,ACC 70.82539999999999
EPOCH 298 ,ACC 70.41259999999998
EPOCH 299 ,ACC 69.5872
EPOCH 300 ,ACC 68.6244
EPOCH 301 ,ACC 69.725
EPOCH 302 ,ACC 70.0528
EPOCH 303 ,ACC 70.27520000000001
EPOCH 304 ,ACC 70.31746666666668
EPOCH 305 ,ACC 70.11639999999998
EPOCH 306 ,ACC 69.61913333333334
EPOCH 307 ,ACC 69.36506666666666
EPOCH 308 ,ACC 69.68246666666666
EPOCH 309 ,ACC 69.037
EPOCH 310 ,ACC 69.3228
EPOCH 311 ,ACC 70.381
EPOCH 312 ,ACC 70.39146666666667
EPOCH 313 ,ACC 69.54506666666667
EPOCH 314 ,ACC 70.04233333333333
EPOCH 315 ,ACC 69.92586666666668
EPOCH 316 ,ACC 70.27506666666666
EPOCH 317 ,ACC 70.33853333333332
EPOCH 318 ,ACC 70.58199999999998
EPOCH 319 ,ACC 69.69313333333334
EPOCH 320 ,ACC 69.35459999999999
EPOCH 321 ,ACC 70.3386
EPOCH 322 ,ACC 70.11653333333334
EPOCH 323 ,ACC 69.90473333333334
EPOCH 324 ,ACC 70.44446666666667
EPOCH 325 ,ACC 69.51313333333334
EPOCH 326 ,ACC 70.51846666666667
EPOCH 327 ,ACC 69.62973333333333
EPOCH 328 ,ACC 69.39686666666667
EPOCH 329 ,ACC 69.6932
EPOCH 330 ,ACC 68.52906666666667
EPOCH 331 ,ACC 69.78833333333334
EPOCH 332 ,ACC 70.12693333333331
EPOCH 333 ,ACC 69.62966666666668
EPOCH 334 ,ACC 69.88359999999999
EPOCH 335 ,ACC 69.08999999999999
EPOCH 336 ,ACC 69.70373333333333
EPOCH 337 ,ACC 69.80953333333333
EPOCH 338 ,ACC 69.37553333333334
EPOCH 339 ,ACC 69.64026666666668
EPOCH 340 ,ACC 70.85713333333334
EPOCH 341 ,ACC 70.23286666666667
EPOCH 342 ,ACC 69.91533333333334
EPOCH 343 ,ACC 69.99999999999999
EPOCH 344 ,ACC 70.5398
EPOCH 345 ,ACC 70.35979999999999
EPOCH 346 ,ACC 69.57673333333334
EPOCH 347 ,ACC 69.41799999999999
EPOCH 348 ,ACC 69.93640000000002
EPOCH 349 ,ACC 71.10033333333332
EPOCH 350 ,ACC 71.03706666666668
EPOCH 351 ,ACC 71.10053333333333
EPOCH 352 ,ACC 71.00533333333333
EPOCH 353 ,ACC 71.24866666666667
EPOCH 354 ,ACC 70.8042
EPOCH 355 ,ACC 70.03179999999999
EPOCH 356 ,ACC 70.5186
EPOCH 357 ,ACC 70.20093333333332
EPOCH 358 ,ACC 70.79366666666667
EPOCH 359 ,ACC 70.6984
EPOCH 360 ,ACC 70.889
EPOCH 361 ,ACC 71.01573333333334
EPOCH 362 ,ACC 69.873
EPOCH 363 ,ACC 69.98946666666667
EPOCH 364 ,ACC 70.04233333333333
EPOCH 365 ,ACC 70.86766666666668
EPOCH 366 ,ACC 70.31746666666666
EPOCH 367 ,ACC 70.47613333333334
EPOCH 368 ,ACC 70.71973333333334
EPOCH 369 ,ACC 70.79366666666667
EPOCH 370 ,ACC 70.69846666666666
EPOCH 371 ,ACC 70.49739999999998
EPOCH 372 ,ACC 71.7778
EPOCH 373 ,ACC 71.23806666666665
EPOCH 374 ,ACC 70.8572
EPOCH 375 ,ACC 71.52359999999999
EPOCH 376 ,ACC 72.03166666666667
EPOCH 377 ,ACC 71.41806666666666
EPOCH 378 ,ACC 71.29106666666667
EPOCH 379 ,ACC 71.41793333333334
EPOCH 380 ,ACC 71.47093333333333
EPOCH 381 ,ACC 71.78833333333333
EPOCH 382 ,ACC 71.52386666666666
EPOCH 383 ,ACC 71.64006666666667
EPOCH 384 ,ACC 71.38640000000001
EPOCH 385 ,ACC 70.88886666666667
EPOCH 386 ,ACC 70.60313333333333
EPOCH 387 ,ACC 71.65086666666666
EPOCH 388 ,ACC 71.83066666666666
EPOCH 389 ,ACC 71.49206666666666
EPOCH 390 ,ACC 72.00000000000001
EPOCH 391 ,ACC 71.70373333333333
EPOCH 392 ,ACC 71.111
EPOCH 393 ,ACC 71.1322
EPOCH 394 ,ACC 71.26986666666667
EPOCH 395 ,ACC 70.58200000000001
EPOCH 396 ,ACC 70.68786666666666
EPOCH 397 ,ACC 71.0264
EPOCH 398 ,ACC 71.08993333333333
EPOCH 399 ,ACC 70.58186666666668
EPOCH 400 ,ACC 70.9948
EPOCH 401 ,ACC 71.04753333333333
EPOCH 402 ,ACC 70.148
EPOCH 403 ,ACC 70.82546666666667
EPOCH 404 ,ACC 70.41266666666667
EPOCH 405 ,ACC 70.35966666666667
EPOCH 406 ,ACC 70.75146666666666
EPOCH 407 ,ACC 70.26473333333334
EPOCH 408 ,ACC 70.7936
EPOCH 409 ,ACC 70.46553333333333
EPOCH 410 ,ACC 70.13766666666668
EPOCH 411 ,ACC 70.69839999999999
EPOCH 412 ,ACC 71.14280000000001
EPOCH 413 ,ACC 71.5132
EPOCH 414 ,ACC 71.46026666666667
EPOCH 415 ,ACC 71.98953333333334
EPOCH 416 ,ACC 71.291
EPOCH 417 ,ACC 70.62433333333334
EPOCH 418 ,ACC 71.17466666666668
EPOCH 419 ,ACC 71.33340000000001
EPOCH 420 ,ACC 70.50806666666668
EPOCH 421 ,ACC 70.61386666666667
EPOCH 422 ,ACC 70.27513333333333
EPOCH 423 ,ACC 70.23286666666667
EPOCH 424 ,ACC 70.28573333333333
EPOCH 425 ,ACC 70.44426666666665
EPOCH 426 ,ACC 70.23273333333333
EPOCH 427 ,ACC 70.49746666666667
EPOCH 428 ,ACC 70.48686666666666
EPOCH 429 ,ACC 70.68786666666666
EPOCH 430 ,ACC 70.64566666666666
EPOCH 431 ,ACC 70.35986666666668
EPOCH 432 ,ACC 70.94180000000001
EPOCH 433 ,ACC 71.164
EPOCH 434 ,ACC 71.91533333333334
EPOCH 435 ,ACC 71.90480000000001
EPOCH 436 ,ACC 72.01073333333333
EPOCH 437 ,ACC 71.14293333333333
EPOCH 438 ,ACC 70.41266666666667
EPOCH 439 ,ACC 71.54506666666666
EPOCH 440 ,ACC 71.39673333333333
EPOCH 441 ,ACC 71.41793333333334
EPOCH 442 ,ACC 71.32279999999999
EPOCH 443 ,ACC 71.49193333333332
EPOCH 444 ,ACC 70.91006666666665
EPOCH 445 ,ACC 70.67720000000001
EPOCH 446 ,ACC 70.78306666666666
EPOCH 447 ,ACC 69.9578
EPOCH 448 ,ACC 70.45506666666667
EPOCH 449 ,ACC 71.11106666666666
EPOCH 450 ,ACC 70.87846666666668
EPOCH 451 ,ACC 70.18
EPOCH 452 ,ACC 70.41260000000001
EPOCH 453 ,ACC 71.471
EPOCH 454 ,ACC 71.64006666666666
EPOCH 455 ,ACC 71.48153333333333
EPOCH 456 ,ACC 70.63499999999999
EPOCH 457 ,ACC 70.434
EPOCH 458 ,ACC 70.05299999999998
EPOCH 459 ,ACC 70.381
EPOCH 460 ,ACC 70.39153333333334
EPOCH 461 ,ACC 70.33860000000001
EPOCH 462 ,ACC 70.62426666666667
EPOCH 463 ,ACC 70.35973333333335
EPOCH 464 ,ACC 69.80953333333335
EPOCH 465 ,ACC 69.91533333333334
EPOCH 466 ,ACC 69.96833333333333
EPOCH 467 ,ACC 69.0582
EPOCH 468 ,ACC 69.11106666666667
EPOCH 469 ,ACC 69.15346666666667
EPOCH 470 ,ACC 69.31206666666667
EPOCH 471 ,ACC 68.98400000000001
EPOCH 472 ,ACC 69.34393333333334
EPOCH 473 ,ACC 69.8516
EPOCH 474 ,ACC 69.3122
EPOCH 475 ,ACC 69.74600000000001
EPOCH 476 ,ACC 70.37026666666667
EPOCH 477 ,ACC 70.20106666666666
EPOCH 478 ,ACC 69.90473333333333
EPOCH 479 ,ACC 70.38093333333333
EPOCH 480 ,ACC 70.0424
EPOCH 481 ,ACC 70.06333333333333
EPOCH 482 ,ACC 70.15873333333334
EPOCH 483 ,ACC 70.34920000000001
EPOCH 484 ,ACC 70.14806666666667
EPOCH 485 ,ACC 70.31746666666668
EPOCH 486 ,ACC 71.3968
EPOCH 487 ,ACC 70.56099999999999
EPOCH 488 ,ACC 70.85713333333332
EPOCH 489 ,ACC 71.13233333333332
EPOCH 490 ,ACC 70.74066666666666
EPOCH 491 ,ACC 71.38613333333333
EPOCH 492 ,ACC 71.56606666666667
EPOCH 493 ,ACC 70.94173333333335
EPOCH 494 ,ACC 70.70893333333332
EPOCH 495 ,ACC 70.22226666666667
EPOCH 496 ,ACC 70.99466666666666
EPOCH 497 ,ACC 70.8678
EPOCH 498 ,ACC 70.8044
EPOCH 499 ,ACC 71.56613333333334
EPOCH 500 ,ACC 71.80946666666665
EPOCH 501 ,ACC 71.22746666666666
EPOCH 502 ,ACC 71.344
EPOCH 503 ,ACC 70.51846666666667
EPOCH 504 ,ACC 70.62439999999998
EPOCH 505 ,ACC 70.92073333333335
EPOCH 506 ,ACC 70.6666
EPOCH 507 ,ACC 71.55546666666667
EPOCH 508 ,ACC 70.91
EPOCH 509 ,ACC 70.51846666666667
EPOCH 510 ,ACC 70.80413333333333
EPOCH 511 ,ACC 70.75126666666667
EPOCH 512 ,ACC 70.88879999999999
EPOCH 513 ,ACC 70.91000000000001
EPOCH 514 ,ACC 71.55539999999999
EPOCH 515 ,ACC 70.6772
EPOCH 516 ,ACC 71.06873333333333
EPOCH 517 ,ACC 71.86246666666666
EPOCH 518 ,ACC 71.54493333333333
EPOCH 519 ,ACC 71.61906666666665
EPOCH 520 ,ACC 71.62953333333333
EPOCH 521 ,ACC 72.24333333333333
EPOCH 522 ,ACC 72.50800000000001
EPOCH 523 ,ACC 72.87833333333334
EPOCH 524 ,ACC 72.30686666666665
EPOCH 525 ,ACC 71.84133333333334
EPOCH 526 ,ACC 71.88359999999999
EPOCH 527 ,ACC 71.37553333333334
EPOCH 528 ,ACC 71.1112
EPOCH 529 ,ACC 71.38626666666667
EPOCH 530 ,ACC 71.4392
EPOCH 531 ,ACC 71.91526666666667
EPOCH 532 ,ACC 71.83053333333332
EPOCH 533 ,ACC 71.66139999999999
EPOCH 534 ,ACC 72.30706666666667
EPOCH 535 ,ACC 72.7196
EPOCH 536 ,ACC 72.76186666666668
EPOCH 537 ,ACC 72.74073333333334
EPOCH 538 ,ACC 72.56086666666667
EPOCH 539 ,ACC 72.24333333333334
EPOCH 540 ,ACC 71.88366666666667
EPOCH 541 ,ACC 72.42326666666668
EPOCH 542 ,ACC 71.87306666666667
EPOCH 543 ,ACC 72.127
EPOCH 544 ,ACC 71.5768
EPOCH 545 ,ACC 71.85186666666667
EPOCH 546 ,ACC 72.22213333333335
EPOCH 547 ,ACC 72.39153333333334
EPOCH 548 ,ACC 72.37033333333332
EPOCH 549 ,ACC 72.09526666666667
EPOCH 550 ,ACC 72.16946666666668
EPOCH 551 ,ACC 72.5502
EPOCH 552 ,ACC 72.33853333333333
EPOCH 553 ,ACC 72.43373333333334
EPOCH 554 ,ACC 72.2752
EPOCH 555 ,ACC 72.30693333333333
EPOCH 556 ,ACC 72.16933333333333
EPOCH 557 ,ACC 72.01053333333334
EPOCH 558 ,ACC 71.6404
EPOCH 559 ,ACC 72.27513333333333
EPOCH 560 ,ACC 71.62966666666667
EPOCH 561 ,ACC 71.82020000000001
EPOCH 562 ,ACC 71.75673333333334
EPOCH 563 ,ACC 72.35986666666666
EPOCH 564 ,ACC 72.16940000000001
EPOCH 565 ,ACC 72.03179999999999
EPOCH 566 ,ACC 72.35979999999999
EPOCH 567 ,ACC 72.24340000000001
EPOCH 568 ,ACC 72.47626666666666
EPOCH 569 ,ACC 72.34920000000001
EPOCH 570 ,ACC 71.68253333333334
EPOCH 571 ,ACC 72.34926666666667
EPOCH 572 ,ACC 71.53433333333332
EPOCH 573 ,ACC 71.43906666666666
EPOCH 574 ,ACC 71.83066666666667
EPOCH 575 ,ACC 72.46566666666668
EPOCH 576 ,ACC 71.51333333333334
EPOCH 577 ,ACC 71.50273333333331
EPOCH 578 ,ACC 71.51320000000001
EPOCH 579 ,ACC 70.83593333333333
EPOCH 580 ,ACC 70.71953333333333
EPOCH 581 ,ACC 71.00546666666666
EPOCH 582 ,ACC 71.39693333333335
EPOCH 583 ,ACC 71.05813333333332
EPOCH 584 ,ACC 71.52386666666666
EPOCH 585 ,ACC 72.20106666666668
EPOCH 586 ,ACC 71.79893333333334
EPOCH 587 ,ACC 71.50266666666667
EPOCH 588 ,ACC 72.29633333333335
EPOCH 589 ,ACC 71.9154
EPOCH 590 ,ACC 71.34380000000002
EPOCH 591 ,ACC 70.44453333333334
EPOCH 592 ,ACC 71.34386666666667
EPOCH 593 ,ACC 71.52386666666666
EPOCH 594 ,ACC 71.20646666666667
EPOCH 595 ,ACC 70.5714
EPOCH 596 ,ACC 71.33333333333333
EPOCH 597 ,ACC 71.42859999999999
EPOCH 598 ,ACC 71.30153333333334
EPOCH 599 ,ACC 71.75666666666667
EPOCH 600 ,ACC 71.48153333333335
EPOCH 601 ,ACC 70.50806666666668
EPOCH 602 ,ACC 70.82546666666667
EPOCH 603 ,ACC 70.58193333333334
EPOCH 604 ,ACC 70.66666666666667
EPOCH 605 ,ACC 70.82546666666667
EPOCH 606 ,ACC 71.43906666666666
EPOCH 607 ,ACC 71.11120000000001
EPOCH 608 ,ACC 70.27506666666666
EPOCH 609 ,ACC 71.55553333333334
EPOCH 610 ,ACC 71.20646666666669
EPOCH 611 ,ACC 70.95239999999998
EPOCH 612 ,ACC 71.40746666666665
EPOCH 613 ,ACC 71.39686666666667
EPOCH 614 ,ACC 70.41273333333334
EPOCH 615 ,ACC 70.5502
EPOCH 616 ,ACC 71.16406666666668
EPOCH 617 ,ACC 71.34393333333334
EPOCH 618 ,ACC 71.61893333333335
EPOCH 619 ,ACC 72.5608
EPOCH 620 ,ACC 72.2328
EPOCH 621 ,ACC 72.42333333333333
EPOCH 622 ,ACC 71.71426666666666
EPOCH 623 ,ACC 71.71433333333333
EPOCH 624 ,ACC 72.16926666666667
EPOCH 625 ,ACC 72.53966666666666
EPOCH 626 ,ACC 72.02126666666666
EPOCH 627 ,ACC 71.82013333333333
EPOCH 628 ,ACC 71.75666666666667
EPOCH 629 ,ACC 71.93646666666667
EPOCH 630 ,ACC 71.54506666666666
EPOCH 631 ,ACC 72.16933333333334
EPOCH 632 ,ACC 71.7566
EPOCH 633 ,ACC 71.86246666666668
EPOCH 634 ,ACC 71.70373333333333
EPOCH 635 ,ACC 71.9894
EPOCH 636 ,ACC 71.94713333333334
EPOCH 637 ,ACC 71.88360000000002
EPOCH 638 ,ACC 72.2646
EPOCH 639 ,ACC 71.74600000000001
EPOCH 640 ,ACC 71.75666666666667
EPOCH 641 ,ACC 72.12686666666667
EPOCH 642 ,ACC 72.08466666666666
EPOCH 643 ,ACC 72.11646666666667
EPOCH 644 ,ACC 72.254
EPOCH 645 ,ACC 71.91546666666666
EPOCH 646 ,ACC 72.04233333333333
EPOCH 647 ,ACC 72.38086666666668
EPOCH 648 ,ACC 72.19053333333333
EPOCH 649 ,ACC 72.09506666666668
EPOCH 650 ,ACC 72.87840000000001
EPOCH 651 ,ACC 72.5608
EPOCH 652 ,ACC 72.4128
EPOCH 653 ,ACC 71.80953333333333
